utterance,loglikelihood
words-BABEL-BP-101-74884-20111030-141232-S0-scripted,-44.17589682539682
words-BABEL-BP-101-44403-20111023-144841-L2-scripted,-37.9793448275862
words-BABEL-BP-101-56070-20111030-183721-S1-scripted,-39.59298734177215
words-BABEL-BP-101-30168-20111118-125425-D1-scripted,-33.1471
words-BABEL-BP-101-48410-20111021-220823-C3-scripted,-40.098941747572816
words-BABEL-BP-101-79495-20111017-194647-D3-scripted,-31.058914285714284
words-BABEL-BP-101-39915-20111101-160619-T2-scripted,-33.12938157894737
words-BABEL-BP-101-61073-20111102-183454-S0-scripted,-38.88429
words-BABEL-BP-101-39997-20111124-145852-T1-scripted,-30.952536231884057
words-BABEL-BP-101-52366-20111018-133123-I2-scripted,-26.57104814814815
words-BABEL-BP-101-10066-20111120-162531-S5-scripted,-40.73209090909091
words-BABEL-BP-101-78094-20111026-125734-S8-scripted,-47.17705128205128
words-BABEL-BP-101-68295-20111124-174239-SC-scripted,-46.38184920634921
words-BABEL-BP-101-56648-20111126-180925-I2-scripted,-40.71561224489796
words-BABEL-BP-101-61762-20111028-174839-C5-scripted,-34.30224358974359
words-BABEL-BP-101-21584-20111030-204506-I1-scripted,-22.594022222222222
words-BABEL-BP-101-51374-20111020-141836-S9-scripted,-46.249785714285714
words-BABEL-BP-101-98476-20111114-210412-S7-scripted,-54.979261904761906
words-BABEL-BP-101-87481-20111129-124953-O1-scripted,-26.913745098039218
words-BABEL-BP-101-31980-20111025-124647-SC-scripted,-41.957057142857145
words-BABEL-BP-101-98099-20111120-124436-S8-scripted,-38.96798113207547
words-BABEL-BP-101-32274-20111024-154936-M1-scripted,-48.93857142857143
words-BABEL-BP-101-52642-20111129-212614-M1-scripted,-41.918238095238095
words-BABEL-BP-101-90490-20111017-182721-S4-scripted,-48.0913606557377
words-BABEL-BP-101-90506-20111026-175754-C6-scripted,-34.15550684931507
words-BABEL-BP-101-13272-20111027-191410-T3-scripted,-34.403942028985504
words-BABEL-BP-101-36711-20111104-140429-T2-scripted,-38.45773529411765
words-BABEL-BP-101-45931-20111021-152204-O6-scripted,-27.090062500000002
words-BABEL-BP-101-45738-20111129-140701-D2-scripted,-40.67711904761905
words-BABEL-BP-101-70615-20111019-190413-O4-scripted,-36.45198846153846
words-BABEL-BP-101-46243-20111020-201343-T2-scripted,-49.3661914893617
words-BABEL-BP-101-25021-20111018-194642-N1-scripted,-43.61966666666667
words-BABEL-BP-101-48410-20111021-220657-S4-scripted,-37.489468253968255
words-BABEL-BP-101-82484-20111103-151942-C5-scripted,-42.61796052631579
words-BABEL-BP-101-52366-20111018-133154-L2-scripted,-40.04646774193548
words-BABEL-BP-101-69295-20111130-001535-A1-scripted,-23.140186440677965
words-BABEL-BP-101-80008-20111031-165203-T1-scripted,-45.989082191780824
words-BABEL-BP-101-59868-20111020-204115-S5-scripted,-47.42771739130435
words-BABEL-BP-101-45472-20111020-165006-D3-scripted,-31.5878125
words-BABEL-BP-101-24608-20111019-185021-D2-scripted,-34.47963095238096
words-BABEL-BP-101-34194-20111024-171540-N1-scripted,-32.37822972972973
words-BABEL-BP-101-52642-20111129-212714-O5-scripted,-33.75725333333333
words-BABEL-BP-101-18950-20111127-141046-O3-scripted,-29.0
words-BABEL-BP-101-91979-20111019-192738-L2-scripted,-42.20782692307692
words-BABEL-BP-101-88929-20111118-195644-C1-scripted,-32.92191525423729
words-BABEL-BP-101-81308-20111021-141904-S4-scripted,-40.33356779661017
words-BABEL-BP-101-58137-20111121-193654-SC-scripted,-35.99856944444444
words-BABEL-BP-101-69295-20111130-001453-S2-scripted,-42.639447619047615
words-BABEL-BP-101-14769-20111121-152530-T1-scripted,-44.552945205479446
words-BABEL-BP-101-51374-20111020-141720-S7-scripted,-48.43234090909091
words-BABEL-BP-101-68767-20111029-171352-S0-scripted,-36.19863636363637
words-BABEL-BP-101-37461-20111022-201828-L1-scripted,-36.26781884057971
words-BABEL-BP-101-98099-20111120-123908-L1-scripted,-32.99071604938272
words-BABEL-BP-101-61408-20111204-190939-C4-scripted,-38.218637681159414
words-BABEL-BP-101-98086-20111129-155128-SA-scripted,-41.630936507936504
words-BABEL-BP-101-16406-20111102-234332-C4-scripted,-34.303666666666665
words-BABEL-BP-101-28260-20111021-180230-C5-scripted,-44.6161975308642
words-BABEL-BP-101-16313-20111022-215512-O4-scripted,-24.739470588235292
words-BABEL-BP-101-96322-20111031-184344-SC-scripted,-42.49980582524272
words-BABEL-BP-101-69764-20111026-205112-S9-scripted,-42.09597478991597
words-BABEL-BP-101-72718-20111129-162342-I2-scripted,-31.114545454545453
words-BABEL-BP-101-33742-20111118-223002-T1-scripted,-45.544876712328765
words-BABEL-BP-101-25278-20111125-160827-S0-scripted,-37.48961616161616
words-BABEL-BP-101-49624-20111120-195341-S4-scripted,-40.225810810810806
words-BABEL-BP-101-91401-20111027-205601-SC-scripted,-40.42643181818182
words-BABEL-BP-101-11827-20111025-185025-T2-scripted,-36.05729411764706
words-BABEL-BP-101-35016-20111203-201507-S0-scripted,-35.3766168224299
words-BABEL-BP-101-21584-20111030-204055-C4-scripted,-34.25544262295082
words-BABEL-BP-101-24642-20111129-125032-O1-scripted,-33.0260119047619
words-BABEL-BP-101-40980-20111119-143855-D2-scripted,-39.6135119047619
words-BABEL-BP-101-61119-20111125-203543-L1-scripted,-31.007962962962964
words-BABEL-BP-101-75243-20111204-175459-D1-scripted,-32.59767741935484
words-BABEL-BP-101-10160-20111017-193313-SC-scripted,-47.36163043478261
words-BABEL-BP-101-39287-20111119-190333-I2-scripted,-21.607365384615385
words-BABEL-BP-101-21584-20111030-204420-A1-scripted,-29.97891489361702
words-BABEL-BP-101-45931-20111021-152426-C3-scripted,-39.16238709677419
words-BABEL-BP-101-20582-20111023-155525-C6-scripted,-34.9621975308642
words-BABEL-BP-101-26350-20111019-200405-S4-scripted,-56.40927173913044
words-BABEL-BP-101-42266-20111031-230047-O4-scripted,-60.74366666666666
words-BABEL-BP-101-24642-20111129-125238-O3-scripted,-30.566960784313725
words-BABEL-BP-101-72718-20111129-162749-O7-scripted,-36.97244047619048
words-BABEL-BP-101-85948-20111020-165035-S7-scripted,-41.81855384615385
words-BABEL-BP-101-80786-20111030-202417-T3-scripted,-33.172
words-BABEL-BP-101-93454-20111027-011626-S4-scripted,-51.750103174603176
words-BABEL-BP-101-99856-20111125-181625-C5-scripted,-44.12266666666667
words-BABEL-BP-101-97650-20111126-141506-C4-scripted,-38.39795238095238
words-BABEL-BP-101-25021-20111018-194035-O2-scripted,-32.76035714285714
words-BABEL-BP-101-13272-20111027-191257-C3-scripted,-36.4736847826087
