utterance,loglikelihood
words-BABEL-BP-101-59454-20111117-203722-outLine-474-04-477-49,-32.765235294117645
words-BABEL-BP-101-59454-20111117-203722-outLine-477-49-484-95,-37.94737837837838
words-BABEL-BP-101-59454-20111117-203722-outLine-484-95-490-46,-30.149309090909092
words-BABEL-BP-101-59454-20111117-203722-outLine-490-46-494-09,-41.71044444444445
words-BABEL-BP-101-59454-20111117-203722-outLine-494-09-497-79,-31.344783783783786
words-BABEL-BP-101-59454-20111117-203722-outLine-497-79-503-73,-28.696288135593218
words-BABEL-BP-101-59454-20111117-203722-outLine-503-73-509-58,-36.41518965517242
words-BABEL-BP-101-59454-20111117-203722-outLine-509-58-513-88,-31.48744186046512
words-BABEL-BP-101-59454-20111117-203722-outLine-513-88-517-17,-27.94634375
words-BABEL-BP-101-59454-20111117-203722-outLine-517-17-523-39,-29.751677419354838
words-BABEL-BP-101-59454-20111117-203722-outLine-523-39-531-53,-39.937345679012346
words-BABEL-BP-101-59454-20111117-203722-outLine-531-53-540-51,-38.19756179775281
words-BABEL-BP-101-59454-20111117-203722-outLine-543-73-551-42,-44.31071052631579
words-BABEL-BP-101-59454-20111117-203722-outLine-551-42-557-4,-31.35352542372881
words-BABEL-BP-101-59454-20111117-203722-outLine-557-4-565-47,-46.161987499999995
words-BABEL-BP-101-59454-20111117-203722-outLine-565-47-572-54,-32.56545714285714
words-BABEL-BP-101-59454-20111117-203722-outLine-572-54-576-53,-32.273820512820514
words-BABEL-BP-101-32295-20111111-144923-outLine-6-82-10-36,-48.424600000000005
words-BABEL-BP-101-32295-20111111-144923-outLine-10-36-13-95,-49.4884
words-BABEL-BP-101-32295-20111111-144923-outLine-13-95-18-02,-48.088975
words-BABEL-BP-101-32295-20111111-144923-outLine-18-02-23-34,-46.22381132075472
words-BABEL-BP-101-32295-20111111-144923-outLine-23-34-32-34,-51.854933333333335
words-BABEL-BP-101-32295-20111111-144923-outLine-39-34-43-63,-54.89123809523809
words-BABEL-BP-101-32295-20111111-144923-outLine-49-14-58-1,-46.59126966292134
